untrustworthy_flag,turnout_2020_binary,voted_biden_2020,voted_trump_2020,age,female,digital_literacy_index,ideo5_linear,pid7_linear,socmed_use_linear,newsint_linear,intuse_linear,race4_Black,race4_Hispanic,race4_Other,educ4_HS or less,educ4_Postgrad,educ4_Some college,region_Northeast,region_South,region_West,presvote16post_condensed_Did Not Vote,presvote16post_condensed_Hillary Clinton,presvote16post_condensed_Other
0,1,1,0,73,0,3.3333333333333335,2.0,1.0,1.0,4.0,4.0,0,0,0,0,1,0,0,1,0,0,1,0
1,1,0,1,78,1,2.6666666666666665,4.0,7.0,2.0,2.0,4.0,0,0,0,1,0,0,0,1,0,1,0,0
1,1,1,0,50,0,5.0,1.0,3.0,1.0,4.0,4.0,0,0,0,0,1,0,0,1,0,0,1,0
0,1,1,0,58,1,1.3333333333333333,3.0,1.0,2.0,3.0,4.0,1,0,0,0,0,1,0,0,0,0,1,0
0,1,0,1,82,1,4.5,3.0,5.0,2.0,4.0,4.0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,0,57,1,4.833333333333333,3.0,7.0,2.0,4.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,0,54,0,5.0,1.0,1.0,2.0,4.0,4.0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,0,62,1,5.0,3.0,1.0,3.0,4.0,4.0,0,0,0,0,1,0,0,1,0,0,1,0
0,1,1,0,55,1,1.3333333333333333,1.0,1.0,2.0,4.0,3.0,0,0,0,1,0,0,0,0,0,0,1,0
0,1,1,0,58,0,2.5,3.0,2.0,4.0,2.0,4.0,0,1,0,0,0,1,0,1,0,0,1,0
1,1,1,0,68,0,5.0,3.0,2.0,5.0,4.0,4.0,0,0,0,0,0,1,0,1,0,0,0,0
1,1,0,1,56,0,4.333333333333333,4.0,6.0,1.0,4.0,4.0,0,1,0,0,0,0,0,0,1,1,0,0
1,1,0,1,65,1,4.0,4.0,6.0,2.0,3.0,4.0,0,0,0,0,0,1,0,1,0,0,0,0
0,1,0,1,68,0,4.333333333333333,5.0,6.0,3.0,4.0,4.0,0,0,0,0,1,0,0,0,1,0,0,0
1,1,0,1,76,0,1.0,5.0,7.0,1.0,4.0,4.0,0,0,0,0,0,1,0,0,1,0,0,0
1,1,1,0,43,0,4.166666666666667,1.0,3.0,3.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,0,42,0,4.166666666666667,2.0,2.0,4.0,4.0,4.0,0,0,0,0,0,1,0,0,1,0,1,0
0,1,1,0,56,1,4.8,3.0,3.0,1.0,4.0,4.0,0,0,0,0,0,1,0,0,1,0,1,0
0,1,1,0,76,0,3.5,2.0,1.0,1.0,4.0,4.0,0,0,0,0,0,0,0,0,1,0,1,0
1,1,1,0,72,1,4.333333333333333,3.0,3.0,5.0,4.0,4.0,0,0,0,0,1,0,1,0,0,0,1,0
1,1,1,0,73,1,3.5,2.0,1.0,5.0,4.0,4.0,0,0,0,0,0,0,0,0,1,0,1,0
1,1,0,1,74,0,3.6666666666666665,4.0,7.0,5.0,4.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,0,69,1,4.0,1.0,1.0,4.0,4.0,4.0,0,0,0,0,1,0,0,1,0,0,1,0
0,1,1,0,62,1,4.0,2.0,1.0,2.0,3.0,4.0,0,0,0,0,0,1,0,1,0,0,1,0
0,1,1,0,33,0,3.3333333333333335,1.0,1.0,5.0,4.0,4.0,0,1,0,0,0,0,1,0,0,1,0,0
0,1,1,0,48,0,3.0,1.0,1.0,4.0,4.0,4.0,0,0,0,1,0,0,0,1,0,0,1,0
1,1,1,0,71,0,2.8333333333333335,2.0,1.0,2.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,0,67,1,3.5,1.0,1.0,2.0,4.0,4.0,0,0,0,0,0,1,0,1,0,1,0,0
0,1,1,0,23,1,2.8333333333333335,3.0,3.0,2.0,3.0,4.0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,1,0,49,1,3.5,2.0,1.0,2.0,4.0,4.0,0,0,0,0,0,0,0,1,0,0,1,0
0,1,1,0,61,1,4.333333333333333,3.0,4.0,4.0,4.0,4.0,1,0,0,0,0,0,0,1,0,0,1,0
1,1,1,0,61,1,4.333333333333333,3.0,3.0,6.0,4.0,4.0,0,0,0,1,0,0,0,1,0,0,1,0
0,1,1,0,66,0,3.3333333333333335,2.0,1.0,3.0,4.0,4.0,0,0,0,0,0,0,0,0,1,0,1,0
0,1,0,1,68,1,2.3333333333333335,5.0,7.0,5.0,4.0,4.0,0,0,0,0,0,1,0,1,0,0,0,0
1,1,1,0,69,0,2.8333333333333335,3.0,3.0,2.0,4.0,4.0,0,0,0,0,1,0,0,1,0,1,0,0
1,1,0,1,80,0,1.1666666666666667,4.0,7.0,2.0,4.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,0,40,1,5.0,3.0,4.0,1.0,3.0,4.0,0,0,0,0,1,0,0,0,1,0,1,0
0,1,0,1,79,0,4.333333333333333,4.0,2.0,1.0,4.0,4.0,0,0,0,0,1,0,0,0,1,0,0,0
1,1,1,0,63,0,3.8333333333333335,3.0,3.0,2.0,4.0,4.0,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,0,77,0,3.6666666666666665,2.0,2.0,1.0,4.0,4.0,0,0,0,1,0,0,1,0,0,0,1,0
0,1,1,0,69,0,3.3333333333333335,2.0,3.0,1.0,4.0,4.0,0,0,0,0,0,1,0,0,0,0,1,0
0,1,1,0,68,0,4.166666666666667,2.0,1.0,1.0,4.0,4.0,0,0,0,0,0,0,0,1,0,0,1,0
1,1,0,1,59,0,5.0,5.0,7.0,1.0,4.0,4.0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,1,49,0,2.1666666666666665,4.0,5.0,6.0,3.0,4.0,0,0,0,0,1,0,0,1,0,0,0,0
