untrustworthy_flag,turnout_2020_binary,voted_biden_2020,voted_trump_2020,age,female,digital_literacy_index,ideo5_linear,pid7_linear,socmed_use_linear,newsint_linear,intuse_linear,race4,educ4,region,presvote16post_condensed
0,1,0,1,30,1,3.1666666666666665,4.0,7.0,2.0,4.0,4.0,White,College grad,West,Donald Trump
1,1,0,1,79,1,3.1666666666666665,3.0,5.0,1.0,1.0,4.0,White,Some college,South,Donald Trump
0,1,0,1,48,1,1.3333333333333333,3.0,5.0,2.0,4.0,4.0,White,College grad,West,Donald Trump
1,1,0,1,70,1,2.6666666666666665,4.0,7.0,1.0,2.0,4.0,White,Some college,South,Did Not Vote
0,1,0,1,49,0,4.666666666666667,5.0,7.0,3.0,4.0,4.0,White,Some college,Midwest,Other
0,1,1,0,73,1,3.1666666666666665,1.0,1.0,2.0,4.0,4.0,White,Postgrad,Northeast,Hillary Clinton
1,1,0,1,72,1,3.3333333333333335,4.0,5.0,3.0,4.0,4.0,White,Some college,Northeast,Donald Trump
1,1,0,1,82,0,1.3333333333333333,4.0,7.0,2.0,4.0,3.0,White,College grad,Midwest,Donald Trump
0,0,0,0,57,1,3.0,5.0,7.0,1.0,4.0,4.0,White,HS or less,South,Did Not Vote
0,1,0,1,53,0,2.1666666666666665,4.0,6.0,1.0,3.0,4.0,White,College grad,Midwest,Other
0,1,1,0,20,0,4.0,1.0,1.0,1.0,3.0,4.0,White,Some college,Midwest,Did Not Vote
0,1,1,0,58,0,5.0,3.0,3.0,2.0,4.0,4.0,White,Postgrad,South,Hillary Clinton
0,1,1,0,59,1,5.0,2.0,1.0,2.0,4.0,4.0,White,Some college,South,Hillary Clinton
1,1,1,0,52,0,5.0,3.0,2.0,5.0,4.0,4.0,Other,College grad,South,Hillary Clinton
0,1,0,1,69,1,3.6666666666666665,3.0,7.0,6.0,4.0,4.0,White,Some college,Northeast,Donald Trump
0,1,1,0,68,1,4.333333333333333,3.0,3.0,4.0,4.0,4.0,White,Postgrad,South,Hillary Clinton
0,1,1,0,76,0,4.833333333333333,2.0,2.0,2.0,4.0,4.0,White,College grad,West,Hillary Clinton
1,1,0,1,73,0,4.0,4.0,5.0,2.0,4.0,4.0,White,HS or less,South,Donald Trump
1,1,0,1,73,0,2.6666666666666665,4.0,7.0,4.0,4.0,4.0,White,Postgrad,Northeast,Donald Trump
0,1,1,0,55,1,3.5,2.0,1.0,1.0,4.0,4.0,White,College grad,South,Hillary Clinton
1,1,0,1,82,1,3.3333333333333335,3.0,5.0,1.0,3.0,4.0,White,Some college,South,Donald Trump
1,1,1,0,72,1,2.0,1.0,2.0,4.0,4.0,4.0,White,Postgrad,West,Hillary Clinton
1,1,1,0,59,1,3.8333333333333335,2.0,3.0,1.0,4.0,4.0,White,Some college,Northeast,Hillary Clinton
0,1,1,0,59,1,1.6666666666666667,4.0,2.0,1.0,3.0,4.0,White,College grad,South,Hillary Clinton
0,1,1,0,72,0,4.5,1.0,1.0,1.0,4.0,4.0,White,College grad,South,Hillary Clinton
1,1,1,0,71,1,4.833333333333333,1.0,3.0,1.0,4.0,4.0,White,Some college,West,Other
0,1,1,0,65,1,3.8333333333333335,2.0,3.0,1.0,4.0,4.0,White,Some college,West,Hillary Clinton
1,1,1,0,64,1,3.1666666666666665,3.0,2.0,1.0,4.0,4.0,White,Some college,Northeast,Did Not Vote
0,1,1,0,81,0,4.0,2.0,1.0,2.0,4.0,4.0,Hispanic,Postgrad,South,Hillary Clinton
1,1,0,1,79,0,3.6666666666666665,5.0,7.0,1.0,4.0,4.0,White,College grad,South,Donald Trump
1,1,0,1,82,1,3.0,5.0,7.0,5.0,4.0,4.0,White,Some college,South,Donald Trump
1,1,0,1,66,0,2.3333333333333335,4.0,7.0,3.0,4.0,2.0,White,Some college,Northeast,Donald Trump
1,1,0,1,20,1,2.3333333333333335,3.0,4.0,5.0,3.0,4.0,Other,Some college,Northeast,Did Not Vote
1,1,0,1,74,1,2.6666666666666665,4.0,5.0,2.0,4.0,4.0,White,HS or less,Northeast,Other
0,1,1,0,59,1,2.6666666666666665,2.0,2.0,6.0,4.0,4.0,White,HS or less,Northeast,Did Not Vote
0,1,1,0,64,1,1.3333333333333333,4.0,6.0,1.0,4.0,4.0,White,Some college,South,Donald Trump
0,1,1,0,76,0,3.0,3.0,1.0,1.0,4.0,4.0,White,HS or less,South,Hillary Clinton
1,1,1,0,63,0,2.3333333333333335,2.0,1.0,2.0,3.0,3.0,White,College grad,West,Hillary Clinton
0,1,0,1,83,0,3.0,4.0,5.0,1.0,4.0,4.0,White,Some college,West,Donald Trump
1,1,0,1,61,1,4.0,3.0,7.0,1.0,4.0,4.0,White,College grad,West,Donald Trump
1,1,1,0,59,1,4.0,1.0,1.0,1.0,4.0,4.0,White,College grad,Northeast,Hillary Clinton
0,1,1,0,59,1,2.3333333333333335,3.0,3.0,3.0,3.0,4.0,White,HS or less,Midwest,Hillary Clinton
1,1,1,0,66,0,4.5,1.0,3.0,3.0,4.0,4.0,White,Postgrad,Midwest,Hillary Clinton
1,1,0,1,64,0,3.1666666666666665,4.0,4.0,1.0,3.0,4.0,White,College grad,Midwest,Donald Trump
0,1,1,0,71,1,2.6666666666666665,1.0,1.0,6.0,4.0,4.0,White,College grad,South,Hillary Clinton
0,1,1,0,77,1,3.5,2.0,1.0,5.0,4.0,3.0,White,Some college,South,Hillary Clinton
0,1,1,0,74,0,2.6666666666666665,3.0,1.0,4.0,4.0,4.0,White,College grad,South,Did Not Vote
0,1,1,0,70,1,3.3333333333333335,3.0,1.0,1.0,4.0,4.0,White,College grad,Midwest,Hillary Clinton
0,1,1,0,45,1,3.0,3.0,3.0,1.0,3.0,4.0,Other,Postgrad,West,Hillary Clinton
1,1,1,0,30,1,3.6666666666666665,4.0,6.0,1.0,3.0,4.0,Hispanic,College grad,South,Did Not Vote
1,1,0,1,47,0,3.0,4.0,5.0,2.0,4.0,3.0,White,Some college,West,Did Not Vote
0,1,1,0,66,1,5.0,3.0,1.0,2.0,4.0,4.0,White,Some college,Northeast,Hillary Clinton
0,1,1,0,50,0,2.8333333333333335,3.0,3.0,4.0,4.0,4.0,White,Some college,South,Did Not Vote
0,1,0,1,78,1,1.0,4.0,6.0,1.0,4.0,4.0,White,Some college,South,Donald Trump
0,1,0,1,62,1,3.3333333333333335,4.0,6.0,1.0,3.0,2.0,White,Some college,South,Did Not Vote
0,1,1,0,44,0,4.333333333333333,2.0,1.0,2.0,3.0,4.0,White,Some college,South,Hillary Clinton
0,1,0,1,40,1,2.6666666666666665,4.0,5.0,1.0,3.0,2.0,White,Some college,Midwest,Did Not Vote
0,1,1,0,57,0,4.166666666666667,2.0,1.0,3.0,4.0,4.0,White,Postgrad,Northeast,Hillary Clinton
0,1,1,0,51,0,3.8333333333333335,3.0,3.0,6.0,3.0,3.0,Other,College grad,West,Did Not Vote
1,1,0,0,54,1,4.333333333333333,1.0,1.0,3.0,4.0,4.0,White,Postgrad,Midwest,Other
0,1,1,0,69,1,1.3333333333333333,3.0,4.0,1.0,3.0,4.0,White,Some college,Midwest,Did Not Vote
0,1,1,0,71,1,5.0,1.0,1.0,4.0,4.0,4.0,White,Some college,Northeast,Hillary Clinton
1,1,1,0,83,1,4.833333333333333,2.0,1.0,3.0,4.0,4.0,White,Postgrad,West,Hillary Clinton
0,1,1,0,63,0,5.0,2.0,1.0,4.0,4.0,4.0,White,Postgrad,South,Hillary Clinton
0,1,0,1,90,1,2.6666666666666665,4.0,7.0,5.0,3.0,4.0,White,HS or less,West,Donald Trump
0,1,0,1,64,0,2.3333333333333335,4.0,7.0,1.0,4.0,4.0,White,Some college,West,Donald Trump
0,1,1,0,56,1,3.0,3.0,1.0,1.0,3.0,4.0,White,College grad,West,Hillary Clinton
1,1,1,0,36,1,4.166666666666667,2.0,3.0,1.0,4.0,4.0,White,College grad,West,Hillary Clinton
0,1,1,0,67,1,3.0,1.0,1.0,4.0,4.0,4.0,White,Some college,Midwest,Hillary Clinton
1,1,0,1,64,1,3.5,5.0,7.0,3.0,3.0,4.0,White,Some college,West,Donald Trump
